#{"t_start": 1696320823.1795056, "env_id": "PandaReach-v3"}
r,l,t,is_success
-2.0,3,59.686777,True
-3.0,4,59.716962,True
0.0,1,59.724558,True
-3.0,4,59.755675,True
-2.0,3,59.785925,True
-2.0,3,59.81246,True
-2.0,3,59.834239,True
0.0,1,59.841736,True
-2.0,3,59.867161,True
-4.0,5,59.904937,True
-3.0,4,59.934577,True
-2.0,3,59.956571,True
-3.0,4,59.98844,True
-2.0,3,60.01088,True
-1.0,2,60.026281,True
-1.0,2,60.040244,True
-3.0,4,60.073717,True
-2.0,3,60.097579,True
-3.0,4,60.126868,True
-4.0,5,60.16316,True
-4.0,5,60.204014,True
-4.0,5,60.239979,True
-2.0,3,60.261978,True
0.0,1,60.269452,True
0.0,1,60.277107,True
-2.0,3,60.301482,True
-2.0,3,60.323285,True
0.0,1,60.332066,True
-2.0,3,60.355439,True
-3.0,4,60.38733,True
-2.0,3,60.409624,True
-3.0,4,60.437188,True
-2.0,3,60.461887,True
-3.0,4,60.493975,True
-2.0,3,60.516149,True
-4.0,5,60.552077,True
0.0,1,60.559629,True
-5.0,6,60.607125,True
0.0,1,60.615459,True
-2.0,3,60.636612,True
0.0,1,60.644767,True
-2.0,3,60.670205,True
-3.0,4,60.702037,True
-2.0,3,60.724037,True
-2.0,3,60.749921,True
-2.0,3,60.773031,True
-3.0,4,60.802837,True
-3.0,4,60.832701,True
-1.0,2,60.850847,True
-4.0,5,60.889242,True
-2.0,3,60.910491,True
-3.0,4,60.939223,True
-2.0,3,60.963386,True
-2.0,3,60.986772,True
0.0,1,60.99416,True
-3.0,4,61.025141,True
-4.0,5,61.065845,True
-2.0,3,61.08884,True
-2.0,3,61.109356,True
-3.0,4,61.13788,True
-1.0,2,61.155405,True
-3.0,4,61.185918,True
-1.0,2,61.200912,True
-2.0,3,61.222384,True
-1.0,2,61.238715,True
-1.0,2,61.254997,True
-2.0,3,61.277625,True
-2.0,3,61.29886,True
-3.0,4,61.333282,True
-2.0,3,61.356251,True
-4.0,5,61.392145,True
-1.0,2,61.406255,True
-3.0,4,61.438335,True
-2.0,3,61.461422,True
-2.0,3,61.48438,True
-1.0,2,61.498684,True
-1.0,2,61.516151,True
-1.0,2,61.532709,True
-3.0,4,61.56105,True
-1.0,2,61.574657,True
-3.0,4,61.607157,True
-2.0,3,61.630706,True
-2.0,3,61.655626,True
-2.0,3,61.677888,True
0.0,1,61.686033,True
-3.0,4,61.7175,True
-2.0,3,61.738673,True
-4.0,5,61.775559,True
-2.0,3,61.799998,True
-2.0,3,61.822929,True
-2.0,3,61.845381,True
-4.0,5,61.88337,True
-2.0,3,61.908059,True
-3.0,4,61.937874,True
-2.0,3,61.960437,True
-2.0,3,61.983237,True
-2.0,3,62.007198,True
-3.0,4,62.038152,True
-1.0,2,62.053607,True
-2.0,3,62.076005,True
-3.0,4,62.108074,True
-2.0,3,62.130921,True
-2.0,3,62.153782,True
-2.0,3,62.175767,True
-1.0,2,62.192757,True
-2.0,3,62.216406,True
-2.0,3,62.239191,True
-3.0,4,62.268924,True
-2.0,3,62.294118,True
-2.0,3,62.317384,True
-3.0,4,62.347426,True
-2.0,3,62.369797,True
-4.0,5,62.411673,True
-2.0,3,62.43538,True
-3.0,4,62.465174,True
-2.0,3,62.48787,True
-2.0,3,62.512493,True
-3.0,4,62.543507,True
-2.0,3,62.56576,True
0.0,1,62.572697,True
-2.0,3,62.598606,True
-4.0,5,62.6383,True
-2.0,3,62.660955,True
-1.0,2,62.676,True
-2.0,3,62.699852,True
-2.0,3,62.722949,True
-3.0,4,62.754163,True
-2.0,3,62.775602,True
-1.0,2,62.792408,True
-3.0,4,62.82345,True
-3.0,4,62.854627,True
-2.0,3,62.876207,True
-3.0,4,62.908072,True
-1.0,2,62.922857,True
-2.0,3,62.946725,True
-3.0,4,62.97586,True
-2.0,3,63.007395,True
-2.0,3,63.032424,True
-1.0,2,63.048327,True
-1.0,2,63.06235,True
0.0,1,63.070249,True
-3.0,4,63.104248,True
-1.0,2,63.119348,True
-1.0,2,63.134018,True
-3.0,4,63.167781,True
-2.0,3,63.189817,True
-1.0,2,63.204236,True
-3.0,4,63.233861,True
-2.0,3,63.259857,True
-2.0,3,63.282526,True
-1.0,2,63.296823,True
-1.0,2,63.311123,True
-1.0,2,63.328369,True
-3.0,4,63.36103,True
0.0,1,63.368807,True
-2.0,3,63.391144,True
-3.0,4,63.42421,True
0.0,1,63.433247,True
-2.0,3,63.455925,True
-2.0,3,63.477336,True
-1.0,2,63.49423,True
-1.0,2,63.510483,True
-1.0,2,63.526157,True
-1.0,2,63.541157,True
-2.0,3,63.567096,True
-1.0,2,63.582726,True
0.0,1,63.59014,True
-1.0,2,63.605726,True
-3.0,4,63.637809,True
-2.0,3,63.66108,True
-3.0,4,63.690549,True
-2.0,3,63.712749,True
-4.0,5,63.752577,True
-1.0,2,63.767018,True
-1.0,2,63.781509,True
-3.0,4,63.810364,True
-1.0,2,63.82773,True
-1.0,2,63.843463,True
-2.0,3,63.867173,True
-3.0,4,63.898965,True
-2.0,3,63.927706,True
-1.0,2,63.944148,True
-1.0,2,63.959363,True
-1.0,2,63.973891,True
-2.0,3,64.0022,True
